"Company Name","phone","website","address","categoryName","city","state","url","postalCode","totalScore","reviewsCount","Enrich company","Id","Find people at company by job title","First Name - People - Results","Last Name - People - Results","Name - People - Results","Title - People - Results","Street Address - People - Results"
"Candlelight Homes","(801) 260-3060","http://www.candlelighthomes.com/","339 W 13490 S Suite 201, Draper, UT 84020","Home builder","Draper","Utah","https://www.google.com/maps/search/?api=1&query=Candlelight%20Homes&query_place_id=ChIJa3KvvNyBUocRHznexQP_caI",84020,4.9,89,"✅ Candlelight Homes","6457565062337b000170fcd2","✅ Found 6 people","Bruce","Hines","Bruce Hines","Owner",
"Valor Homes","(801) 376-8855","http://valorhomes.com/","998 N 1200 W, Orem, UT 84057","Home builder","Orem","Utah","https://www.google.com/maps/search/?api=1&query=Valor%20Homes&query_place_id=ChIJ-6H8MU-bTYcRnWAXHVzFpFs",84057,4.8,135,"✅ Valor Homes","5fc8f720f9669e0001f8f3ab","✅ Found 5 people","Eric","Harper","Eric Harper","Owner",
"Symphony Homes","(801) 905-8000","http://symphonyhomes.com/","111 S Frontage Rd, Centerville, UT 84014","Custom home builder","Centerville","Utah","https://www.google.com/maps/search/?api=1&query=Symphony%20Homes&query_place_id=ChIJob7faRr3UocRfAktx9K-bps",84014,4.7,140,"✅ Symphony Homes","54a11bc769702d9a8b546200","✅ Found 10 people","Miller","Rob","Miller Rob","Co-Owner",
"Lane Myers Construction","(801) 254-5522","http://www.lanemyers.com/","9348 S 500 W, Sandy, UT 84070","Custom home builder","Sandy","Utah","https://www.google.com/maps/search/?api=1&query=Lane%20Myers%20Construction&query_place_id=ChIJOy0F1C2HUocRERPuGtnkaQE",84070,4.9,50,"✅ Lane Myers Construction","55e7ecebf3e5bb419c0000b0","✅ Found 2 people","Lane","Myers","Lane Myers","Owner",
"Duke Building Co.","(435) 610-1223","https://dukebuildingco.com/","76 E 200 N Suite 220, Logan, UT 84321","Home builder","Logan","Utah","https://www.google.com/maps/search/?api=1&query=Duke%20Building%20Co.&query_place_id=ChIJu9oJwXZ9VIcRgmeL1Ns2jjA",84321,5,30,"✅ Duke Building Co.","616009a043d3f10001a18cd0","✅ Found 1 person","Riley","Duke","Riley Duke","Owner",
"Sierra Homes","(435) 257-4963","http://sierrahomes.com/","470 N 2450 W, Tremonton, UT 84337","Home builder","Tremonton","Utah","https://www.google.com/maps/search/?api=1&query=Sierra%20Homes&query_place_id=ChIJyWrlWEWYVIcR7HeZPnsSg_E",84337,4.3,132,"✅ Sierra Homes Inc","5d0982e4a3ae6116f3e2c377","✅ Found 4 people","Dan","Finkbeiner","Dan Finkbeiner","Owner",
"Elite Craft Homes","(801) 451-6525","http://www.elitecrafthomes.com/","49 N Main St, Farmington, UT 84025","Home builder","Farmington","Utah","https://www.google.com/maps/search/?api=1&query=Elite%20Craft%20Homes&query_place_id=ChIJLzt_yj7_UocRq9cv1bqdUTE",84025,4.3,20,"✅ Elite Craft Homes","54a1ab177468695475642706","✅ Found 3 people","Jerry","Preston","Jerry Preston","Owner",
"Peterson Builders, Inc.","(801) 745-3573","http://www.petersonbuilders.com/","4794 2600 N, Eden, UT 84310","Home builder","Eden","Utah","https://www.google.com/maps/search/?api=1&query=Peterson%20Builders%2C%20Inc.&query_place_id=ChIJ_3mHKpWgU4cRzR6ryD8xsMk",84310,4.8,49,"✅ Peterson Builders, Inc.","5e55c78b5aff5f00015e3cb9","✅ Found 8 people","Maureen","Peterson","Maureen Peterson","Owner",
"Martineau Homes","(801) 547-1700","http://martineauhomes.com/","528 N Kays Dr, Kaysville, UT 84037","Home builder","Kaysville","Utah","https://www.google.com/maps/search/?api=1&query=Martineau%20Homes&query_place_id=ChIJaf2k3BwCU4cRwQRgg0ghkBM",84037,4,7,"✅ Martineau Homes","5591fb2b7369641865320e00","✅ Found 3 people","Chris","Martineau","Chris Martineau","Owner",
"Interstate Homes","(435) 635-2944","https://www.myinterstatehome.com/","52 S 850 W #202A, Hurricane, UT 84737","Custom home builder","Hurricane","Utah","https://www.google.com/maps/search/?api=1&query=Interstate%20Homes&query_place_id=ChIJI2nEiBr3yoARoJ95jS7o-TA",84737,4.5,26,"✅ Interstate Homes","67345a1732c99f00017c9676","✅ Found 3 people","Neil","Bandel","Neil Bandel","Owner",
"UpDwell Homes LLC","(801) 784-9100","https://updwell.com/","890 Heritage Park Blvd Suite 104, Layton, UT 84041","Home builder","Layton","Utah","https://www.google.com/maps/search/?api=1&query=UpDwell%20Homes%20LLC&query_place_id=ChIJmXwu_Cf4UocR-S5mZ7fB6Vk",84041,3.2,27,"✅ Haskell Homes","54a1c3b274686958601a1b0f","✅ Found 1 person","Matthew","Haskell","Matthew Haskell","Owner",
"Cole West","(435) 275-2901","https://colewest.com/southern/","2250 N Coral Canyon Blvd #200, Washington, UT 84780","Home builder","Washington","Utah","https://www.google.com/maps/search/?api=1&query=Cole%20West&query_place_id=ChIJZZoWkIpPyoARdGHaJLxcAl8",84780,4.1,27,"✅ Cole West","5e2b3e1c9f76e901f26cf6c0","✅ Found 10 people","Colin","Wright","Colin Wright","Owner",
"Symphony Homes – Chestnut Farms","(801) 905-8000","https://symphonyhomes.com/communities-details.php?id=2","1525 W 600 S, Farmington, UT 84025","Home builder","Farmington","Utah","https://www.google.com/maps/search/?api=1&query=Symphony%20Homes%20%E2%80%93%20Chestnut%20Farms&query_place_id=ChIJKXO4TNv-UocRwNCkGtoXJuE",84025,4.9,10,"✅ Symphony Homes","54a11bc769702d9a8b546200","✅ Found 10 people","Miller","Rob","Miller Rob","Co-Owner",
"Nomad Builders","(801) 891-9004","https://www.nomadbuildersut.com/","47 S Orange St Suite E-3, Salt Lake City, UT 84116","Construction company","Salt Lake City","Utah","https://www.google.com/maps/search/?api=1&query=Nomad%20Builders&query_place_id=ChIJF1eKLG_nJ4gRtS_hVoHYwMY",84116,4.8,20,"✅ Nomad Builders LLC","61ad8fa55676720001804fb2","✅ Found 2 people","Reed","Rombough","Reed Rombough","Owner",
"Symphony Homes - The Preserve","(801) 905-8000","https://symphonyhomes.com/communities-details.php?id=21","1649 Pheasant Meadow Dr, Kaysville, UT 84037","Home builder","Kaysville","Utah","https://www.google.com/maps/search/?api=1&query=Symphony%20Homes%20-%20The%20Preserve&query_place_id=ChIJ3-a1a9ADU4cR_Dm9OmuxBkI",84037,5,1,"✅ Symphony Homes","54a11bc769702d9a8b546200","✅ Found 10 people","Miller","Rob","Miller Rob","Co-Owner",
"Maple Meadows by Ence Homes","(435) 414-6627","https://www.encehomes.com/","2943 S Maplecrest Dr, St. George, UT 84790","Home builder","St. George","Utah","https://www.google.com/maps/search/?api=1&query=Maple%20Meadows%20by%20Ence%20Homes&query_place_id=ChIJsRASaJFQyoARGFeWVVXC4sc",84790,4.3,3,"✅ Ence Homes","54a1db357468695475700115","✅ Found 6 people","Jon","Ence","Jon Ence","Co-Owner",
"West Park Model Home","(801) 628-8262","http://www.sierrahomes.com/","2756 W 4800 S, Roy, UT 84067","Home builder","Roy","Utah","https://www.google.com/maps/search/?api=1&query=West%20Park%20Model%20Home&query_place_id=ChIJ-xPljOIPU4cRe_eKauLgTlI",84067,4.2,5,"✅ Sierra Homes Inc","5d0982e4a3ae6116f3e2c377","✅ Found 4 people","Dan","Finkbeiner","Dan Finkbeiner","Owner",
